invoice_id,delivery_status,delivery_mode,approved_at,rejected_at,sent_at,rejection_reason,last_error,metadata_json,created_at,updated_at
CSV-DEMO-001,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:09.625740,2026-05-10T17:59:09.625740
CSV-DEMO-002,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:20.229046,2026-05-10T17:59:20.229046
CSV-DEMO-005,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:24.985062,2026-05-10T17:59:24.985062
CSV-DEMO-007,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:30.978654,2026-05-10T17:59:30.978654
CSV-DEMO-010,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:35.089414,2026-05-10T17:59:35.089414
CSV-DEMO-004,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:52.573136,2026-05-10T17:59:52.573136
CSV-DEMO-006,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T17:59:59.833923,2026-05-10T17:59:59.833923
CSV-DEMO-008,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T18:00:05.467799,2026-05-10T18:00:05.467799
CSV-DEMO-009,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T18:00:08.728926,2026-05-10T18:00:08.728926
CSV-DEMO-011,PENDING_APPROVAL,DRY_RUN,,,,,,,2026-05-10T18:00:15.702160,2026-05-10T18:00:15.702160
